date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:42	0/0	---M--	404	error ('Not%20Found')	text/javascript	date:Fri,%2009%20Jan%202026%2020:49:44%20GMT	https://ornexis.com/pages/modules/v2/chunk.common_B8yXDTDb.esm.js	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/pages/modules/v2/chunk.common_B8yXDTDb.esm.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:43	0/0	---M--	404	error ('Not%20Found')	text/javascript	date:Fri,%2009%20Jan%202026%2020:49:44%20GMT	https://ornexis.com/pages/modules/v2/client.shop-login-button_DrVPCwAQ.en.esm.js	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/pages/modules/v2/client.shop-login-button_DrVPCwAQ.en.esm.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:43	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2002%20Jan%202026%2011:04:28%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	C:/My%20Web%20Sites/riptheseniggas/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jan%202026%2020:49:45%20GMT	http://ornexis.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jan%202026%2020:49:46%20GMT	http://ornexis.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d7.js?v=20250812	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d75501.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:44	13595/13595	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2023%20Dec%202025%2014:42:45%20GMT	https://ornexis.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:44	78733/78733	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2006%20Jan%202026%2008:41:47%20GMT	https://ornexis.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d7.js?v=20250812	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d75501.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:44	323125/323125	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2009%20Jan%202026%2020:43:52%20GMT	https://ornexis.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:44	87217/87217	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2009%20Jan%202026%2020:07:28%20GMT	https://ornexis.com/cdn/shopifycloud/privacy-banner/storefront-banner.js	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/cdn/shopifycloud/privacy-banner/storefront-banner.js	(from https://ornexis.com/pages/ems-edema-t2)
15:49:45	13882/13882	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Jan%202026%2020:45:29%20GMT	https://ornexis.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	C:/My%20Web%20Sites/riptheseniggas/ornexis.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	(from https://ornexis.com/pages/ems-edema-t2)
